score,fa_atr,fa_rep,fa_sol,fa_intra_atr_xover4,fa_intra_rep_xover4,fa_intra_sol_xover4,lk_ball,lk_ball_iso,lk_ball_bridge,lk_ball_bridge_uncpl,fa_elec,fa_intra_elec,pro_close,hbond_sr_bb,hbond_lr_bb,hbond_bb_sc,hbond_sc,dslf_fa13,omega,fa_dun_dev,fa_dun_rot,fa_dun_semi,p_aa_pp,hxl_tors,ref,rama_prepro,RAMA,RMSD,ala_count,ala_count_helix,ala_count_sheet,aromatic_count,bb,buried_over_exposed,cavity_threshold,contact_core,core_number,cys_count,degree_core,entropy,exposed_is_np,match_probability,mean_sasa,pack_threshold,percent_core,score_res,unsat_hbond,time,description
-114.438,-235.267,25.843,182.489,-17.256,7.797,14.902,93.545,-99.076,-1.034,-2.002,-93.354,-19.433,0.197,-16.454,-19.155,-3.838,-8.066,-1.11,4.199,3.794,20.093,35.49,-14.423,5.884,19.135,2.665,-7.423,0.715,3.0,1.0,1.0,3.0,-0.391,2.849,10.279,138.0,1.0,2.0,9.271,4.139,0.56,0.776,74.104,0.29,0.959,-1.836,6.0,651.0,siteIV_bb1_.252
-112.843,-240.559,29.463,171.932,-16.08,8.311,12.157,94.78,-98.81,-1.415,-2.503,-85.824,-19.993,0.178,-16.722,-18.98,-3.829,-3.004,-1.103,4.645,4.274,15.625,36.592,-15.359,7.546,24.767,1.067,-8.697,0.875,5.0,1.0,1.0,5.0,-0.387,2.678,0.0,155.0,1.0,2.0,9.354,4.139,0.612,0.755,72.881,0.334,0.959,-1.836,5.0,638.0,siteIV_bb1_.199
-111.006,-246.586,28.586,167.431,-20.243,8.701,11.896,91.281,-98.24,-0.578,-1.603,-88.252,-14.402,0.128,-17.884,-18.82,-4.526,-1.472,-1.068,5.103,3.777,24.146,26.67,-15.489,5.232,41.286,3.919,-7.426,0.985,4.0,3.0,0.0,8.0,-0.384,2.801,0.0,173.0,1.0,2.0,9.604,4.139,0.59,0.796,76.587,0.327,0.959,-1.752,6.0,658.0,siteIV_bb1_.150
-110.809,-236.883,25.663,183.818,-16.833,6.897,12.963,94.024,-99.742,-1.241,-2.281,-96.005,-18.368,0.16,-16.86,-19.525,-3.902,-1.621,-1.061,3.31,4.592,24.171,34.977,-14.367,7.421,19.799,0.086,-8.015,0.819,3.0,1.0,1.0,5.0,-0.398,2.777,0.0,143.0,1.0,2.0,9.104,4.139,0.571,0.776,76.523,0.268,0.959,-1.732,6.0,675.0,siteIV_bb1_.337
-108.848,-239.225,28.345,181.958,-17.374,9.054,13.094,95.017,-99.812,-1.019,-1.639,-93.099,-13.231,0.088,-16.104,-19.596,-3.785,-7.085,-1.034,4.711,2.537,22.979,31.225,-14.55,7.439,20.705,1.554,-7.666,0.987,4.0,2.0,1.0,3.0,-0.4,2.81,23.022,136.0,1.0,2.0,9.271,4.139,0.571,0.755,74.419,0.332,0.959,-1.706,6.0,667.0,siteIV_bb1_.195
-108.528,-231.791,26.913,176.456,-17.984,8.137,14.069,92.352,-97.396,-1.215,-2.095,-93.602,-16.478,0.182,-16.213,-19.136,-3.986,-5.779,-1.126,3.871,3.469,18.567,34.305,-15.818,7.403,25.478,2.89,-7.546,0.819,4.0,2.0,0.0,5.0,-0.391,2.698,36.769,144.0,1.0,2.0,9.188,4.139,0.597,0.776,74.767,0.346,0.959,-1.7,6.0,659.0,siteIV_bb1_.313
-107.736,-231.348,24.283,175.367,-17.3,7.06,13.947,94.041,-96.953,-1.285,-2.477,-86.568,-21.907,0.154,-16.656,-19.546,-3.634,-1.472,-1.112,3.215,3.368,19.03,34.119,-14.689,6.527,26.895,-0.796,-8.668,0.915,4.0,1.0,0.0,6.0,-0.399,2.714,49.506,141.0,1.0,2.0,9.312,4.139,0.575,0.816,76.61,0.336,0.959,-1.692,7.0,668.0,siteIV_bb1_.209
-105.303,-238.498,28.37,178.985,-17.737,9.749,14.206,92.759,-98.824,-0.968,-2.041,-91.216,-14.973,0.16,-16.152,-18.429,-3.628,-5.023,-1.034,2.892,4.023,20.989,36.479,-16.339,7.434,25.477,-1.962,-9.233,0.934,3.0,2.0,0.0,3.0,-0.376,2.976,12.742,131.0,1.0,2.0,9.271,4.139,0.567,0.776,72.289,0.336,0.959,-1.687,7.0,646.0,siteIV_bb1_.218
-103.482,-225.617,26.238,168.438,-15.198,8.676,12.765,91.032,-93.859,-1.377,-2.373,-82.236,-21.117,0.199,-17.274,-18.885,-2.845,-2.646,-1.069,3.554,3.102,17.13,34.961,-13.135,7.56,17.286,3.209,-7.53,0.972,4.0,1.0,1.0,2.0,-0.385,2.755,0.0,118.0,1.0,2.0,9.458,4.139,0.577,0.755,74.617,0.34,0.959,-1.599,7.0,616.0,siteIV_bb1_.257
-103.457,-231.425,25.389,175.76,-15.528,5.886,12.233,90.783,-97.035,-0.962,-2.115,-80.885,-21.368,0.239,-17.713,-18.74,-4.005,-2.644,-1.058,4.543,3.756,17.421,33.346,-13.39,9.849,19.812,4.392,-6.268,0.896,4.0,1.0,1.0,5.0,-0.382,2.696,28.312,130.0,1.0,2.0,9.188,4.139,0.568,0.776,77.414,0.302,0.959,-1.559,9.0,620.0,siteIV_bb1_.231
